747	V_V	ð	r
748	_	ð	r
749	V_V	ɻ ̝	ɽ
752	_	ɹ ̝	r
755	V_	ɹ ̝	r
756	V_	ɹ ̝	r
759	_	θ	l
759	_	ð	l
760	_	θ	l
762	V_V	ɬ ̣	l
764	_	ɬ	l
764	_	̥ ɬʲ	 lʲ̥
765	_	z	ɹ ̝
766	_	z	ɹ ̝
767	V_V	z	r
768	V_V	z̺	r
769	V_V	z̺	r
770	_	z̺	r
773	V_#	s	r
774	V_#	s	r
775	_#	z	r
780	_#	p	p
780	_#	t	t
780	_#	k	k
781	_	l	ɾ
782	_	ł	r
784	V_V	l	ɾ
785	V_V	l	ɻ
786	V_V	l	ɾ
787	V_V	l	ɾ
789	V_V	l	ɾ
792	V_V	ḷ	ɾ̣
794	V_	ḷ	ɺ ̣
800	V_C	l	ɾ
801	V_C	l	ɾ
803	V_C	l	ɾ
805	_	ṛ	ɺ ̣
806	_	r	ɹ
807	V_	ɾ̣	ɻ
809	V_V	r	ɾ
812	V_V	ɾ ̣	ɹ ̣
813	#_	r	ɻ ̝
816	V_V	ḻʲ	ɹ ̝
818	V_V	ð	ɹ
819	V_	ð	ð̞
820	V_V	ð	j 
820	V_V	ʓ 	j ‹y‹
820	V_V	ɣ	j 
821	V_V	ð	j ‹y‹
821	V_V	ʓ	j ‹y,j‹
821	V_V	ɣ	j 
822	V_	β	w
822	V_	ð	j
822	V_	ɣ	j
824	_	ʝ	j
825	_	ʝ	j
831	V_V	ʝ	j
832	_	ʝ	j
835	V_V	ʝ	j
836	_	ʝ	j
837	_	ʝ	j
841	V_	β	w
841	V_	ð	j
843	V_	β	w
843	V_	ð	j
844	V_	β	w
844	V_	ð	j
845	V_	β	w
845	V_	ð	j
848	_	β	w
848	_	ɣ	w
850	_	ʓ	j
850	_	ɣ	w
851	_	β	w
852	_	β	w
853	_	β	w
854	_	v	w
855	_	β	w
856	_V	v	w
857	_	β	w
859	_	β	w
863	V_	β	w
864	V_	β	w
865	V_	β	w
866	V_	β	w
867	V_	β	w
869	V_	v	w
871	V_V	β	w
872	V_V	ð	j
873	V_	ð	j
874	V_	ð	j
876	V_V	z	j
876	V_V	ẓ	j
876	V_V	ʓ	j
877	V_	z	j
879	V_V	ẓ	j
880	V_V	ẓ	j
881	V_V	ʓ	j
882	V_V	ʓ	j
883	V_V	ɣ	j
884	V_V	ɣ	j
886	V_	ɣ	j
890	V_V	ɣ	w
892	V_#	ɣ	β
893	_	ɣ	w
894	V_V	ɣ	w
897	_	ɣʷ	w
915	V_#	ʑ	j
922	V_#	ɣ	w
950	_C	ɣ	i̯
952	_C	ɸ	w
952	_C	θ	w
952	_C	x	w
953	V_C	f	w
957	C_	ɣ	j
969	V_#	s ̺	j
971	_	gʷ	w
973	_	gʷ	w
975	#_	gʷ	w
976	V_V	m	w
977	V_V	mʷ	w̃
978	V_V	m	w̃
979	V_V	m	w
980	V_V	m	w
982	V_V	m	w
982	V_V	mʲ	wʲ
983	V_V	m	w
987	V_#	m	w
991	V_V	n	ɻ ̃
992	V_V	n	r
993	V_V	n	ɾ ̃
994	V_V	ṇ	ṛ ̃
995	V_V	ṇ	ɾ ̣̃
996	V_	ṇ	ɺ ̣
997	V_V	ṇ	ɾ ̣̃
999	_	ɲ	j
1000	_	ɲ	j
1001	_	ṉʲ	j
1002	V_V	ṉʲ	j
1009	V_V	ł	w
1010	_	ł	w
1012	_	ł	w
1015	V_C	ł	w
1016	V_C	ł	w
1018	V_C	ł	w
1020	V_C	ł	w
1021	V_C	ł	w
1022	V_C	ł	w
1031	_	ʎ	j
1032	_	ʎ	j
1033	_	ʎ	j
1034	_	ʎ	j
1035	_	ʎ	j
1036	_	ʎʎ	j
1037	_	ʎʎ	jj
1038	_	ʎ	j
1039	_	ʎ	j
1040	_	ʎ	j
1041	_	ʎ	j
1042	_	ʎ	j
1043	_	ʎ	j
1044	_	ʎ	j
1045	_	ʎ	j
1046	_	ʎ	j
1047	#_	ʎ	j
1048	_	ʎ	j
1049	_	ʎ	j
1050	_	ʎ	j
1053	V_C	ʎ	j
1062	_	ʎ	j
1063	_	ʀ	ʁ̞
1064	_	ʀ	ʁ̞
1069	V_C	r	ɐ
1081	V_C	ɣ	ə
1086	_	Tʰ	T
1086	_	D̤ʱ	D
1087	_	Tʰ	T
1087	_	D̤ʱ	D
1088	_	Tʰ	T
1088	_	D̤ʱ	D
1089	_	pʰ	p
1089	_	kʰ	k
1090	_	tsʰ	ts
1091	_	kʰ	k
1100	_	D̤ʱ	D
